ID,Title,ShortTitle,SubjectType,ControlType,IsDistant,Departments - DepartmentId → ID,Departments - DepartmentId → Title,Faculties - FacultyId → ID,Faculties - FacultyId → Title,SemesterSeasons - SemesterSeasonId → Year,SemesterSeasons - SemesterSeasonId → Season
2061,Методы и инструменты проектного менеджмента,МиИПМ,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2062,Методы и инструменты проектного менеджмента,МиИПМ,Лек,Экз,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2063,Развитие производственных систем в производстве и сервисе,РПСвПиС,Лек,Экз,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2064,Развитие производственных систем в производстве и сервисе,РПСвПиС,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2065,Психология предпринимательства и эмоциональное лидерство,ПсПрЭмЛид,Лек,ЗчО,false,44,каф.ЭТП,6,ИНПРОТЕХ,2023,autumn
2066,Правовые основы предпринимательской деятельности,ПрОснПД,Пр,,false,44,каф.ЭТП,6,ИНПРОТЕХ,2023,autumn
2067,Правовые основы предпринимательской деятельности,ПрОснПД,Лек,ЗчО,false,44,каф.ЭТП,6,ИНПРОТЕХ,2023,autumn
2068,Психология предпринимательства и эмоциональное лидерство,ПсПрЭмЛид,Пр,,false,44,каф.ЭТП,6,ИНПРОТЕХ,2023,autumn
2069,Технологическое предпринимательство,ТехнПр,Пр,,false,44,каф.ЭТП,6,ИНПРОТЕХ,2023,autumn
2070,Управление проектами в области менеджмента качества,УПвОМК,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2071,Управление проектами в области менеджмента качества,УПвОМК,Лек,Экз,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2072,Управление процессами,УпрПроц,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2073,Управление эффективностью организаций,УпрЭффОрг,Пр,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2074,Управление процессами,УпрПроц,Лек,Экз,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2075,Методы научных исследований,МетНИ,Лек,ЗчО,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2126,Теория информации и теория кодирования,ТИиТК,Лек,Экз,false,58,каф.ИБ,3,ФКТИ,2023,autumn
2076,"Междисциплинарный проект 'Проектирование систем менеджмента качества""",МДП,Пр,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2077,Управление малым коллективом,УпрМК,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2078,Стратегический анализ организации,СтрАнОрг,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2079,Стратегический анализ организации,СтрАнОрг,Лек,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2080,Деловой английский язык в профессиональной сфере,ДАЯвПС,Пр,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2081,Программирование,Программ.,Лаб,,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2082,Информатика,Информатика,Лаб,,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2083,Информатика,Информатика,Лек,ЗчО,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2084,Управление знаниями на предприятиях высокотехнологичных отраслей экономики,УЗнПВТОЭ,Пр,,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2085,Управление знаниями на предприятиях высокотехнологичных отраслей экономики,УЗнПВТОЭ,Лек,Экз,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2086,Международная бизнес-среда (International Business Environment),МеждБС(IBE),Лек,ЗчО,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2087,Международная бизнес-среда (International Business Environment),МеждБС(IBE),Пр,,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2088,Международная бизнес-среда (на английском языке),МеждБС(ая),Пр,,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2089,Международная бизнес-среда (на английском языке),МеждБС(ая),Лек,ЗчО,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2090,Экспертиза инновационных проектов,ЭкспИннПр,Пр,,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2091,Физическая культура и спорт,Физкультура,Пр,Зч,false,33,каф.ФВиС,5,ФИБС,2023,autumn
2092,Организационное поведение,ОргПов,Пр,,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2093,Организационное поведение,ОргПов,Лек,ЗчО,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2094,Основы зеленой экономики,ОснЗелЭк,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2095,Трансфер технологий (Technology Transfer),ТрТехн(TechTr),Пр,,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2096,Основы зеленой экономики,ОснЗелЭк,Лек,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2097,Методы и инструменты управления рисками организации,МиИУРО,Лек,Экз,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2098,Трансфер технологий,ТрТехн,Пр,,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2099,Методы и инструменты управления рисками организации,МиИУРО,Пр,,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
2100,Трансфер технологий,ТрТехн,Лек,ЗчО,false,8,каф.ИМ,6,ИНПРОТЕХ,2023,autumn
2101,Экологическая химия,ЭколХимия,Лек,Экз,true,7,каф.ИЗОС,5,ФИБС,2023,autumn
2102,Дискретная математика,ДМ,Пр,,true,5,каф.АМ,3,ФКТИ,2023,autumn
2103,Физкультура,Физкультура,Пр,Зч,false,33,каф.ФВиС,5,ФИБС,2023,autumn
2105,Практическая психология,ПрактПс,Лек,ЗчО,false,2,каф.ИС,3,ФКТИ,2023,autumn
2106,Комбинаторные вычисления,КомбВыч,Пр,,true,5,каф.АМ,3,ФКТИ,2023,autumn
