ID ЛК,НомерЛД,Иностранец,Курс,finans,status,Уровень образования,Форма образования
318829,1950318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318832,1980318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318833,1990318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318834,2000318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318835,2010318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318836,2020318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318838,2060318,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318840,2080318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318841,2100318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318842,2110318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318843,2130318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318847,970818,False,5,Бюджет,Учащийся,Бакалавриат,Очно-заочная
318848,980818,False,4,Бюджет,Учащийся,Бакалавриат,Очно-заочная
318852,740818,False,5,Контракт,Учащийся,Бакалавриат,Заочная форма
318858,810818,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318867,590818,False,4,Контракт,Учащийся,Бакалавриат,Заочная форма
318873,680818,False,4,Контракт,Учащийся,Бакалавриат,Заочная форма
318877,1930818,False,5,Бюджет,Отчислен,Бакалавриат,Очно-заочная
318878,1940818,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318879,1960818,False,2,Бюджет,Учащийся,Магистратура,Очная форма
318880,1970818,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318882,2000818,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318884,2030818,False,1,Бюджет,Учащийся,Магистратура,Очная форма
318891,2130818,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318899,1390818,False,2,Бюджет,Отчислен,Магистратура,Очная форма
318901,1410818,False,1,Бюджет,Отчислен,Магистратура,Очная форма
318913,1620818,False,4,Бюджет,Учащийся,Бакалавриат,Очно-заочная
